YYYYMMSOON,품목코드 ,품목명,품종코드 ,품종명,등급명,유통단계별 무게 ,유통단계별 단위 ,평균가격(원),전순 평균가격(원) PreVious SOON,전달 평균가격(원) PreVious MMonth,전년 평균가격(원) PreVious YeaR,평년 평균가격(원) Common Year SOON,year,soon,date,품목-품종,original_month,original_day,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,day_1,day_11,day_21,품목(품종)명,단수
202209상순,411.0,사과,7.0,홍로,상품,개,10.0,28922.0,,20573.0,24907.0,25285.6666666666,2022,상순,2022-09-01,사과-홍로,1,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,사과(홍로),
202209상순,411.0,사과,7.0,홍로,상품,개,10.0,28922.0,,20573.0,24907.0,25285.6666666666,2022,상순,2022-09-01,사과-홍로,1,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,사과(홍로),
202209상순,411.0,사과,7.0,홍로,상품,개,10.0,28922.0,,20573.0,24907.0,25285.6666666666,2022,상순,2022-09-01,사과-홍로,1,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,사과(홍로),
202209상순,411.0,사과,7.0,홍로,상품,개,10.0,28922.0,,20573.0,24907.0,25285.6666666666,2022,상순,2022-09-01,사과-홍로,1,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,사과(홍로),
202209상순,411.0,사과,7.0,홍로,상품,개,10.0,28922.0,,20573.0,24907.0,25285.6666666666,2022,상순,2022-09-01,사과-홍로,1,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,사과(홍로),
202209상순,411.0,사과,7.0,홍로,상품,개,10.0,28922.0,,20573.0,24907.0,25285.6666666666,2022,상순,2022-09-01,사과-홍로,1,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,사과(홍로),
202209상순,411.0,사과,7.0,홍로,상품,개,10.0,28922.0,,20573.0,24907.0,25285.6666666666,2022,상순,2022-09-01,사과-홍로,1,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,사과(홍로),
202209상순,411.0,사과,7.0,홍로,상품,개,10.0,28922.0,,20573.0,24907.0,25285.6666666666,2022,상순,2022-09-01,사과-홍로,1,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,사과(홍로),
202209상순,411.0,사과,7.0,홍로,상품,개,10.0,28922.0,,20573.0,24907.0,25285.6666666666,2022,상순,2022-09-01,사과-홍로,1,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,사과(홍로),
202209상순,411.0,사과,7.0,홍로,상품,개,10.0,28922.0,,20573.0,24907.0,25285.6666666666,2022,상순,2022-09-01,사과-홍로,1,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,사과(홍로),
202209상순,411.0,사과,7.0,홍로,상품,개,10.0,28922.0,,20573.0,24907.0,25285.6666666666,2022,상순,2022-09-01,사과-홍로,1,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,사과(홍로),
202209상순,411.0,사과,7.0,홍로,상품,개,10.0,28922.0,,20573.0,24907.0,25285.6666666666,2022,상순,2022-09-01,사과-홍로,1,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,사과(홍로),
202209상순,411.0,사과,7.0,홍로,상품,개,10.0,28922.0,,20573.0,24907.0,25285.6666666666,2022,상순,2022-09-01,사과-홍로,1,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,사과(홍로),
