시점,품목명,품종명,거래단위,등급,평년 평균가격(원),평균가격(원)
201801상순,건고추,화건,30 kg,상품,381666.666666666,590000.0
201801중순,건고추,화건,30 kg,상품,380809.666666666,590000.0
201801하순,건고추,화건,30 kg,상품,380000.0,590000.0
201802상순,건고추,화건,30 kg,상품,380000.0,590000.0
201802중순,건고추,화건,30 kg,상품,376666.666666666,590000.0
201802하순,건고추,화건,30 kg,상품,376666.666666666,580833.0
201803상순,건고추,화건,30 kg,상품,376666.666666666,563333.0
201803중순,건고추,화건,30 kg,상품,375208.333333333,575000.0
201803하순,건고추,화건,30 kg,상품,372333.333333333,575000.0
201804상순,건고추,화건,30 kg,상품,371000.0,575000.0
201804중순,건고추,화건,30 kg,상품,368143.0,575000.0
201804하순,건고추,화건,30 kg,상품,363762.0,575000.0
201805상순,건고추,화건,30 kg,상품,361619.0,575000.0
201805중순,건고추,화건,30 kg,상품,359333.333333333,575000.0
201805하순,건고추,화건,30 kg,상품,359333.333333333,575000.0
201806상순,건고추,화건,30 kg,상품,359666.666666666,591320.0
201806중순,건고추,화건,30 kg,상품,362458.333333333,599514.0
201806하순,건고추,화건,30 kg,상품,362666.666666666,600000.0
201807상순,건고추,화건,30 kg,상품,364333.333333333,600000.0
201807중순,건고추,화건,30 kg,상품,366166.666666666,599375.0
201807하순,건고추,화건,30 kg,상품,359792.333333333,590943.0
201808상순,건고추,화건,30 kg,상품,357631.0,601250.0
201808중순,건고추,화건,30 kg,상품,349952.333333333,605000.0
201808하순,건고추,화건,30 kg,상품,348927.666666666,600000.0
201809상순,건고추,화건,30 kg,상품,405678.666666666,771633.0
201809중순,건고추,화건,30 kg,상품,399555.666666666,670800.0
201809하순,건고추,화건,30 kg,상품,401381.0,651067.0
201810상순,건고추,화건,30 kg,상품,398889.0,628017.0
201810중순,건고추,화건,30 kg,상품,396270.0,616000.0
201810하순,건고추,화건,30 kg,상품,394333.333333333,608500.0
201811상순,건고추,화건,30 kg,상품,392666.666666666,593857.0
201811중순,건고추,화건,30 kg,상품,391208.333333333,586000.0
201811하순,건고추,화건,30 kg,상품,391000.0,588500.0
201812상순,건고추,화건,30 kg,상품,390285.666666666,599000.0
201812중순,건고추,화건,30 kg,상품,386254.0,601000.0
201812하순,건고추,화건,30 kg,상품,383750.0,601000.0
201901상순,건고추,화건,30 kg,상품,381666.666666666,598357.0
201901중순,건고추,화건,30 kg,상품,380809.666666666,593950.0
201901하순,건고추,화건,30 kg,상품,380000.0,581378.0
201902상순,건고추,화건,30 kg,상품,380000.0,578600.0
201902중순,건고추,화건,30 kg,상품,376666.666666666,581725.0
201902하순,건고추,화건,30 kg,상품,376666.666666666,588600.0
201903상순,건고추,화건,30 kg,상품,376666.666666666,588600.0
201903중순,건고추,화건,30 kg,상품,375208.333333333,588600.0
201903하순,건고추,화건,30 kg,상품,372333.333333333,585743.0
201904상순,건고추,화건,30 kg,상품,371000.0,578600.0
201904중순,건고추,화건,30 kg,상품,368143.0,577171.0
201904하순,건고추,화건,30 kg,상품,363762.0,573600.0
201905상순,건고추,화건,30 kg,상품,363000.0,573600.0
201905중순,건고추,화건,30 kg,상품,361666.666666666,573600.0
201905하순,건고추,화건,30 kg,상품,361666.666666666,573044.0
201906상순,건고추,화건,30 kg,상품,362000.0,568600.0
201906중순,건고추,화건,30 kg,상품,364791.666666666,567975.0
201906하순,건고추,화건,30 kg,상품,365000.0,563600.0
201907상순,건고추,화건,30 kg,상품,366666.666666666,561350.0
201907중순,건고추,화건,30 kg,상품,368500.0,560600.0
201907하순,건고추,화건,30 kg,상품,363375.666666666,559350.0
