,YYYYMMSOON,품목코드 ,품목명,품종코드 ,품종명,등급명,유통단계별 무게 ,유통단계별 단위 ,평균가격(원),전순 평균가격(원) PreVious SOON,전달 평균가격(원) PreVious MMonth,전년 평균가격(원) PreVious YeaR,평년 평균가격(원) Common Year SOON
0,202101상순,241.0,건고추,0.0,화건,상품,kg,30.0,770400.0,0.0,810371.0,401429.0,460476.333333333
1,202101중순,241.0,건고추,0.0,화건,상품,kg,30.0,770400.0,0.0,797800.0,400000.0,460333.333333333
2,202101하순,241.0,건고추,0.0,화건,상품,kg,30.0,770400.0,0.0,778150.0,398857.0,456745.0
3,202102상순,241.0,건고추,0.0,화건,상품,kg,30.0,770400.0,0.0,770400.0,396000.0,454866.666666666
4,202102중순,241.0,건고추,0.0,화건,상품,kg,30.0,770400.0,0.0,770400.0,396000.0,455908.333333333
5,202102하순,241.0,건고추,0.0,화건,상품,kg,30.0,770400.0,0.0,770400.0,401250.0,457361.0
6,202103상순,241.0,건고추,0.0,화건,상품,kg,30.0,769686.0,0.0,770400.0,399750.0,451027.666666666
7,202103중순,241.0,건고추,0.0,화건,상품,kg,30.0,764029.0,0.0,770400.0,399125.0,454708.333333333
8,202103하순,241.0,건고추,0.0,화건,상품,kg,30.0,764000.0,0.0,770400.0,403857.0,453619.0
9,202104상순,241.0,건고추,0.0,화건,상품,kg,30.0,767800.0,0.0,769686.0,406000.0,453000.0
10,202104중순,241.0,건고추,0.0,화건,상품,kg,30.0,767800.0,0.0,764029.0,406000.0,450143.0
11,202104하순,241.0,건고추,0.0,화건,상품,kg,30.0,767800.0,0.0,764000.0,406000.0,446962.0
12,202105상순,241.0,건고추,0.0,화건,상품,kg,30.0,767800.0,0.0,767800.0,406000.0,446200.0
13,202105중순,241.0,건고추,0.0,화건,상품,kg,30.0,767800.0,0.0,767800.0,406375.0,444991.666666666
14,202105하순,241.0,건고추,0.0,화건,상품,kg,30.0,767800.0,0.0,767800.0,409000.0,445681.333333333
15,202106상순,241.0,건고추,0.0,화건,상품,kg,30.0,767800.0,0.0,767800.0,428125.0,450575.0
16,202106중순,241.0,건고추,0.0,화건,상품,kg,30.0,771133.0,0.0,767800.0,446714.0,456563.0
17,202106하순,241.0,건고추,0.0,화건,상품,kg,30.0,772800.0,0.0,767800.0,453457.0,457352.333333333
18,202107상순,241.0,건고추,0.0,화건,상품,kg,30.0,772800.0,0.0,767800.0,451600.0,455983.333333333
19,202107중순,241.0,건고추,0.0,화건,상품,kg,30.0,772800.0,0.0,771133.0,451933.0,453344.333333333
20,202107하순,241.0,건고추,0.0,화건,상품,kg,30.0,772800.0,0.0,772800.0,453933.0,450618.0
21,202108상순,241.0,건고추,0.0,화건,상품,kg,30.0,759943.0,0.0,772800.0,472233.0,451575.333333333
22,202108중순,241.0,건고추,0.0,화건,상품,kg,30.0,732243.0,0.0,772800.0,656571.0,488244.333333333
23,202108하순,241.0,건고추,0.0,화건,상품,kg,30.0,602000.0,0.0,772800.0,703571.0,0.0
24,202109상순,241.0,건고추,0.0,화건,상품,kg,30.0,599813.0,0.0,759943.0,905650.0,594433.333333333
25,202109중순,241.0,건고추,0.0,화건,상품,kg,30.0,587000.0,0.0,732243.0,890800.0,596516.666666666
26,202109하순,241.0,건고추,0.0,화건,상품,kg,30.0,580750.0,0.0,602000.0,815114.0,597022.333333333
27,202110상순,241.0,건고추,0.0,화건,상품,kg,30.0,578400.0,0.0,599813.0,806000.0,579339.0
28,202110중순,241.0,건고추,0.0,화건,상품,kg,30.0,562714.0,0.0,587000.0,807057.0,578250.0
29,202110하순,241.0,건고추,0.0,화건,상품,kg,30.0,558000.0,0.0,580750.0,819750.0,582727.333333333
30,202111상순,241.0,건고추,0.0,화건,상품,kg,30.0,558000.0,0.0,578400.0,830629.0,563202.333333333
31,202111중순,241.0,건고추,0.0,화건,상품,kg,30.0,558000.0,0.0,562714.0,825750.0,552944.333333333
32,202111하순,241.0,건고추,0.0,화건,상품,kg,30.0,565143.0,0.0,558000.0,816467.0,554071.333333333
33,202112상순,241.0,건고추,0.0,화건,상품,kg,30.0,570500.0,0.0,558000.0,810371.0,559000.0
34,202112중순,241.0,건고추,0.0,화건,상품,kg,30.0,570500.0,0.0,558000.0,797800.0,552000.0
35,202112하순,241.0,건고추,0.0,화건,상품,kg,30.0,560778.0,0.0,565143.0,778150.0,540555.333333333
36,202201상순,241.0,건고추,0.0,화건,상품,kg,30.0,558000.0,0.0,570500.0,770400.0,529928.666666666
37,202201중순,241.0,건고추,0.0,화건,상품,kg,30.0,558000.0,0.0,570500.0,770400.0,527983.333333333
38,202201하순,241.0,건고추,0.0,화건,상품,kg,30.0,558000.0,0.0,560778.0,770400.0,523411.666666666
39,202202상순,241.0,건고추,0.0,화건,상품,kg,30.0,558000.0,0.0,558000.0,770400.0,521533.333333333
40,202202중순,241.0,건고추,0.0,화건,상품,kg,30.0,558000.0,0.0,558000.0,770400.0,522575.0
41,202202하순,241.0,건고추,0.0,화건,상품,kg,30.0,545500.0,0.0,558000.0,770400.0,523561.0
42,202203상순,241.0,건고추,0.0,화건,상품,kg,30.0,543000.0,0.0,558000.0,769686.0,517227.666666666
43,202203중순,241.0,건고추,0.0,화건,상품,kg,30.0,543000.0,0.0,558000.0,764029.0,520908.333333333
44,202203하순,241.0,건고추,0.0,화건,상품,kg,30.0,543000.0,0.0,545500.0,764000.0,521533.333333333
45,202204상순,241.0,건고추,0.0,화건,상품,kg,30.0,543000.0,0.0,543000.0,767800.0,519866.666666666
46,202204중순,241.0,건고추,0.0,화건,상품,kg,30.0,543000.0,0.0,543000.0,767800.0,519390.333333333
47,202204하순,241.0,건고추,0.0,화건,상품,kg,30.0,543000.0,0.0,543000.0,767800.0,518200.0
48,202205상순,241.0,건고추,0.0,화건,상품,kg,30.0,543000.0,0.0,543000.0,767800.0,518200.0
49,202205중순,241.0,건고추,0.0,화건,상품,kg,30.0,543000.0,0.0,543000.0,767800.0,518325.0
50,202205하순,241.0,건고추,0.0,화건,상품,kg,30.0,543000.0,0.0,543000.0,767800.0,519014.666666666
51,202206상순,241.0,건고추,0.0,화건,상품,kg,30.0,543000.0,0.0,543000.0,767800.0,529348.333333333
52,202206중순,241.0,건고추,0.0,화건,상품,kg,30.0,543600.0,0.0,543000.0,771133.0,538067.666666666
53,202206하순,241.0,건고추,0.0,화건,상품,kg,30.0,543825.0,0.0,543000.0,772800.0,539019.0
54,202207상순,241.0,건고추,0.0,화건,상품,kg,30.0,550400.0,0.0,543000.0,772800.0,537650.0
55,202207중순,241.0,건고추,0.0,화건,상품,kg,30.0,552000.0,0.0,543600.0,772800.0,537302.666666666
56,202207하순,241.0,건고추,0.0,화건,상품,kg,30.0,555743.0,0.0,543825.0,772800.0,534742.0
57,202208상순,241.0,건고추,0.0,화건,상품,kg,30.0,559794.0,0.0,550400.0,759943.0,537408.666666666
58,202208중순,241.0,건고추,0.0,화건,상품,kg,30.0,578819.0,0.0,552000.0,732243.0,592768.0
59,202208하순,241.0,건고추,0.0,화건,상품,kg,30.0,579167.0,0.0,555743.0,602000.0,0.0
60,202209상순,241.0,건고추,0.0,화건,상품,kg,30.0,539583.0,0.0,559794.0,599813.0,637704.333333333
61,202209중순,241.0,건고추,0.0,화건,상품,kg,30.0,597600.0,0.0,578819.0,587000.0,635516.666666666
62,202209하순,241.0,건고추,0.0,화건,상품,kg,30.0,671225.0,0.0,579167.0,580750.0,637272.333333333
63,202210상순,241.0,건고추,0.0,화건,상품,kg,30.0,673700.0,0.0,539583.0,578400.0,628805.666666666
64,202210중순,241.0,건고추,0.0,화건,상품,kg,30.0,668475.0,0.0,597600.0,562714.0,622488.0
65,202210하순,241.0,건고추,0.0,화건,상품,kg,30.0,662657.0,0.0,671225.0,558000.0,625023.666666666
66,202211상순,241.0,건고추,0.0,화건,상품,kg,30.0,650325.0,0.0,673700.0,558000.0,605202.333333333
67,202211중순,241.0,건고추,0.0,화건,상품,kg,30.0,650267.0,0.0,668475.0,558000.0,594944.333333333
68,202211하순,241.0,건고추,0.0,화건,상품,kg,30.0,639100.0,0.0,662657.0,565143.0,597881.0
69,202212상순,241.0,건고추,0.0,화건,상품,kg,30.0,630600.0,0.0,650325.0,570500.0,604166.666666666
70,202212중순,241.0,건고추,0.0,화건,상품,kg,30.0,626400.0,0.0,650267.0,570500.0,597166.666666666
71,202212하순,241.0,건고추,0.0,화건,상품,kg,30.0,626400.0,0.0,639100.0,560778.0,584203.666666666
72,202101상순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,136600.0,0.0,0.0,0.0,0.0
73,202101중순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,136600.0,0.0,0.0,0.0,0.0
74,202101하순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,136600.0,0.0,0.0,0.0,0.0
75,202102상순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,140437.5,0.0,0.0,0.0,0.0
76,202102중순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,143300.0,0.0,0.0,0.0,0.0
77,202102하순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,143800.0,0.0,0.0,0.0,0.0
78,202103상순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,143600.0,0.0,0.0,0.0,0.0
79,202103중순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,145000.0,0.0,0.0,0.0,0.0
80,202103하순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,145937.5,0.0,0.0,0.0,0.0
81,202104상순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,146214.5,0.0,0.0,0.0,0.0
82,202104중순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,147314.5,0.0,0.0,0.0,0.0
83,202104하순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,155350.0,0.0,0.0,0.0,0.0
84,202105상순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,153400.0,0.0,0.0,0.0,0.0
85,202105중순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,151143.0,0.0,0.0,0.0,0.0
86,202105하순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,149085.5,0.0,0.0,0.0,0.0
87,202106상순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,148250.0,0.0,0.0,0.0,0.0
88,202106중순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,146500.0,0.0,0.0,0.0,0.0
89,202106하순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,145395.75,0.0,0.0,0.0,0.0
90,202107상순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,145617.75,0.0,0.0,0.0,0.0
91,202107중순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,162207.0,0.0,0.0,0.0,0.0
92,202107하순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,162450.0,0.0,0.0,0.0,0.0
93,202108상순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,162985.5,0.0,0.0,0.0,0.0
94,202108중순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,161457.5,0.0,0.0,0.0,0.0
95,202108하순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,161100.0,0.0,0.0,0.0,0.0
96,202109상순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,158750.0,0.0,0.0,0.0,0.0
97,202109중순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,158000.0,0.0,0.0,0.0,0.0
98,202109하순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,158000.0,0.0,0.0,0.0,0.0
99,202110상순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,158000.0,0.0,0.0,0.0,0.0
100,202110중순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,158085.5,0.0,0.0,0.0,0.0
101,202110하순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,158100.0,0.0,0.0,0.0,0.0
102,202111상순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,159600.0,0.0,0.0,0.0,0.0
103,202111중순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,167200.0,0.0,0.0,0.0,0.0
104,202111하순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,169100.0,0.0,0.0,0.0,0.0
105,202112상순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,169100.0,0.0,0.0,0.0,0.0
106,202112중순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,169100.0,0.0,0.0,0.0,0.0
107,202112하순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,168033.5,0.0,0.0,0.0,0.0
108,202201상순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,166850.0,0.0,0.0,0.0,0.0
109,202201중순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,165862.5,0.0,0.0,0.0,0.0
110,202201하순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,163200.0,0.0,0.0,0.0,0.0
111,202202상순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,163200.0,0.0,0.0,0.0,0.0
112,202202중순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,163200.0,0.0,0.0,0.0,0.0
113,202202하순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,163200.0,0.0,0.0,0.0,0.0
114,202203상순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,163200.0,0.0,0.0,0.0,0.0
115,202203중순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,163200.0,0.0,0.0,0.0,0.0
116,202203하순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,168867.0,0.0,0.0,0.0,0.0
117,202204상순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,173450.0,0.0,0.0,0.0,0.0
118,202204중순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,173625.0,0.0,0.0,0.0,0.0
119,202204하순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,174143.0,0.0,0.0,0.0,0.0
120,202205상순,258.0,깐마늘(국산),1.0,깐마늘(국산),상품,kg,20.0,174416.5,0.0,0.0,0.0,0.0
