,YYYYMMSOON,가락시장 품목코드(5자리),품목(품종)명,거래단위,등급(특 5% 상 35% 중 40% 하 20%),평균가격(원),전순 평균가격(원) PreVious SOON,전달 평균가격(원) PreVious MMonth,전년 평균가격(원) PreVious YeaR,평년 평균가격(원) Common Year SOON
0,202101상순,21100,배추,10키로망대,상,3315.16666666666,3372.8,4002.22222222222,9272.71428571428,6416.92857142857
1,202101중순,21100,배추,10키로망대,상,4904.55555555555,3315.16666666666,3782.125,8701.625,6306.5787037037
2,202101하순,21100,배추,10키로망대,상,5641.33333333333,4904.55555555555,3372.8,8522.0,7278.9074074074
3,202102상순,21100,배추,10키로망대,상,6297.33333333333,5641.33333333333,3315.16666666666,8880.875,8057.5324074074
4,202102중순,21100,배추,10키로망대,상,8420.57142857143,6297.33333333333,4904.55555555555,9089.11111111111,8174.87037037037
5,202102하순,21100,배추,10키로망대,상,8894.33333333333,8420.57142857143,5641.33333333333,9076.5,8573.7619047619
6,202103상순,21100,배추,10키로망대,상,9310.88888888888,8894.33333333333,6297.33333333333,8656.625,8488.61574074074
7,202103중순,21100,배추,10키로망대,상,9345.33333333333,9310.88888888888,8420.57142857143,8288.0,8058.33333333333
8,202103하순,21100,배추,10키로망대,상,9392.55555555555,9345.33333333333,8894.33333333333,8157.0,7643.66666666666
9,202104상순,21100,배추,10키로망대,상,9566.33333333333,9392.55555555555,9310.88888888888,7590.0,7111.54166666666
10,202104중순,21100,배추,10키로망대,상,9217.75,9566.33333333333,9345.33333333333,8503.5,7079.75925925926
11,202104하순,21100,배추,10키로망대,상,8996.77777777777,9217.75,9392.55555555555,11245.0,8231.66666666666
12,202105상순,21100,배추,10키로망대,상,6507.125,8996.77777777777,9566.33333333333,10653.75,6861.21296296296
13,202105중순,21100,배추,10키로망대,상,4590.88888888888,6507.125,9217.75,9588.77777777777,5888.46759259259
14,202105하순,21100,배추,10키로망대,상,5712.77777777777,4590.88888888888,8996.77777777777,9949.77777777777,5306.55925925925
15,202106상순,21100,배추,10키로망대,상,6225.66666666666,5712.77777777777,6507.125,7173.11111111111,4695.53703703703
16,202106중순,21100,배추,10키로망대,상,5418.375,6225.66666666666,4590.88888888888,7488.33333333333,4909.34259259259
17,202106하순,21100,배추,10키로망대,상,5138.0,5418.375,5712.77777777777,7608.125,5390.17129629629
18,202107상순,21100,배추,10키로망대,상,4671.66666666666,5138.0,6225.66666666666,7897.44444444444,5678.10648148148
19,202107중순,21100,배추,10키로망대,상,4782.25,4671.66666666666,5418.375,11235.625,7700.96296296296
20,202107하순,21100,배추,10키로망대,상,6819.3,4782.25,5138.0,12039.8,10351.8222222222
21,202108상순,21100,배추,10키로망대,상,10284.2857142857,6819.3,4671.66666666666,12338.7142857142,10942.7083333333
22,202108중순,21100,배추,10키로망대,상,8024.77777777777,10284.2857142857,4782.25,17104.3333333333,15009.0694444444
23,202108하순,21100,배추,10키로망대,상,9006.77777777777,8024.77777777777,6819.3,18618.4444444444,17091.5148148148
