,year,month,순,시점,품목명,품종명,거래단위,등급,평년 평균가격(원),평균가격(원),n_holiday,계절,평년 평균가격(원)_whole,거래단위_num,평년 평균가격(원)_local,fill_source
755,2018,01,상순,201801상순,무,무,20키로상자,상,0.009824449824444918,0.009824449824444918,2.0,겨울,0.0,20.0,0.0,average
756,2018,01,중순,201801중순,무,무,20키로상자,상,0.009798288791398314,0.009798288791398314,1.0,겨울,0.0,20.0,0.0,average
757,2018,01,하순,201801하순,무,무,20키로상자,상,0.01125226009320095,0.01125226009320095,2.0,겨울,0.0,20.0,0.0,average
758,2018,02,상순,201802상순,무,무,20키로상자,상,0.01986341310619006,0.01986341310619006,1.0,겨울,0.0,20.0,0.0,average
759,2018,02,중순,201802중순,무,무,20키로상자,상,0.021160523414939843,0.021160523414939843,5.0,겨울,0.0,20.0,0.0,average
760,2018,02,하순,201802하순,무,무,20키로상자,상,0.020807402071424286,0.020807402071424286,1.0,겨울,0.0,20.0,0.0,average
761,2018,03,상순,201803상순,무,무,20키로상자,상,0.025922322387144432,0.025922322387144432,2.0,봄,0.0,20.0,0.0,average
762,2018,03,중순,201803중순,무,무,20키로상자,상,0.020795388949597177,0.020795388949597177,2.0,봄,0.0,20.0,0.0,average
763,2018,03,하순,201803하순,무,무,20키로상자,상,0.02089312329016301,0.02089312329016301,1.0,봄,0.0,20.0,0.0,average
764,2018,04,상순,201804상순,무,무,20키로상자,상,0.020127901237962178,0.020127901237962178,2.0,봄,0.0,20.0,0.0,average
765,2018,04,중순,201804중순,무,무,20키로상자,상,0.021670014793783544,0.021670014793783544,1.0,봄,0.0,20.0,0.0,average
766,2018,04,하순,201804하순,무,무,20키로상자,상,0.02572366861777358,0.02572366861777358,2.0,봄,0.0,20.0,0.0,average
767,2018,05,상순,201805상순,무,무,20키로상자,상,0.02737752108325887,0.02737752108325887,3.0,봄,0.0,20.0,0.0,average
768,2018,05,중순,201805중순,무,무,20키로상자,상,0.024620394555720695,0.024620394555720695,2.0,봄,0.0,20.0,0.0,average
769,2018,05,하순,201805하순,무,무,20키로상자,상,0.014151856415485742,0.014151856415485742,2.0,봄,0.0,20.0,0.0,average
