YYYYMMSOON,지역 이름,주산지 품목명,주산지 품종명,순 평균상대습도,순 평균기온,순 평균풍속,순 최고기온,순 최저상대습도,순 최저기온,순 강수량,순 누적 일조시간,특보 코드,특보 명,특보 발효 순통계 개수
201801상순,A,감자,봄,0.6161616161616162,0.1666666666666666,0.1428571428571428,0.075,0.2247191011235955,0.2352941176470588,0.0,0.4885496183206106,C2,한파주의보,0.0909090909090909
201801상순,B,감자,봄,0.7373737373737375,0.2142857142857142,0.1428571428571428,0.1,0.4157303370786517,0.2745098039215686,0.0080536912751677,0.0,S2,대설주의보,0.0909090909090909
201801상순,C,감자,고랭지,0.5353535353535354,0.1428571428571428,0.1428571428571428,0.075,0.1573033707865168,0.2156862745098039,0.0013422818791946,0.4809160305343511,C2,한파주의보,0.0909090909090909
201801상순,D,감자,가을,0.6565656565656566,0.3809523809523809,0.5714285714285714,0.275,0.3820224719101123,0.4705882352941176,0.021476510067114,0.1603053435114503,W2,강풍주의보,0.0909090909090909
201801상순,E,건고추,-,0.6464646464646465,0.1666666666666666,0.1428571428571428,0.075,0.247191011235955,0.1372549019607843,0.0080536912751677,0.0,S2,대설주의보,0.0909090909090909
201801상순,E,건고추,-,0.6464646464646465,0.1666666666666666,0.1428571428571428,0.075,0.247191011235955,0.1372549019607843,0.0080536912751677,0.0,R2,호우주의보,0.0909090909090909
201801상순,F,건고추,-,0.7171717171717172,0.238095238095238,0.1428571428571428,0.125,0.4269662921348314,0.3333333333333333,0.010738255033557,0.0,S2,대설주의보,0.0909090909090909
201801상순,G,건고추,-,0.7474747474747475,0.2619047619047618,0.1428571428571428,0.15,0.4044943820224719,0.3333333333333333,0.021476510067114,0.2748091603053435,S2,대설주의보,0.0909090909090909
201801상순,H,건고추,-,0.6161616161616162,0.1428571428571428,0.1428571428571428,0.05,0.1797752808988764,0.2156862745098039,0.0013422818791946,0.4809160305343511,00,특보없음,0.0
201801상순,I,건고추,-,0.5454545454545455,0.1904761904761904,0.1428571428571428,0.125,0.1573033707865168,0.2352941176470588,0.0026845637583892,0.0,00,특보없음,0.0
201801상순,F,마늘,난지형 대서,0.7171717171717172,0.238095238095238,0.1428571428571428,0.125,0.4269662921348314,0.3333333333333333,0.010738255033557,0.0,S2,대설주의보,0.0909090909090909
201801상순,J,마늘,난지형 대서,0.4646464646464647,0.2619047619047618,0.2857142857142857,0.175,0.1573033707865168,0.2941176470588235,0.0026845637583892,0.4351145038167939,00,특보없음,0.0
201801상순,K,마늘,난지형 남도,0.7272727272727273,0.2857142857142857,0.2857142857142857,0.225,0.3820224719101123,0.3725490196078431,0.036241610738255,0.0,W2,강풍주의보,0.0909090909090909
201801상순,F,마늘,한지형,0.7171717171717172,0.238095238095238,0.1428571428571428,0.125,0.4269662921348314,0.3333333333333333,0.010738255033557,0.0,S2,대설주의보,0.0909090909090909
201801상순,L,마늘,한지형,0.5454545454545455,0.2142857142857142,0.1428571428571428,0.175,0.1348314606741573,0.2549019607843137,0.0013422818791946,0.4351145038167939,00,특보없음,0.0
